1668792131,cpu0,0,4000000,400000,3000021,25000,0,powersave
1668792131,cpu1,1,4000000,400000,3002171,48500,0,powersave
1668792131,cpu2,2,4000000,400000,3000134,32050,0,powersave
1668792131,cpu3,3,4000000,400000,2999998,20000,0,powersave
1668792131,cpu4,4,4000000,400000,3001278,38050,0,powersave
1668792131,cpu5,5,4000000,400000,3000258,43050,0,powersave
1668792131,cpu6,6,4000000,400000,2996931,41050,0,powersave
1668792131,cpu7,7,4000000,400000,3057599,57050,0,powersave
1668792131,cpu0,0,4000000,400000,3000044,25000,0,powersave
1668792131,cpu1,1,4000000,400000,2999949,48500,0,powersave
1668792131,cpu2,2,4000000,400000,3000732,32050,0,powersave
1668792131,cpu3,3,4000000,400000,3000011,20000,0,powersave
1668792131,cpu4,4,4000000,400000,3000136,38050,0,powersave
1668792131,cpu5,5,4000000,400000,2000000,43050,0,powersave
1668792131,cpu6,6,4000000,400000,2000000,41050,0,powersave
1668792131,cpu7,7,4000000,400000,3000007,57050,0,powersave
